iata,icao,airport_name,location,gps
TLH,KTLH,Tallahassee International Airport,within Tallahassee city limits.,30.39667°N 84.35028°W
TOL,KTOL,Toledo Express Airport,"Swanton / Monclova townships, Lucas County, Ohio, United States",41.586806°N 83.807833°W
TPA,KTPA,Tampa International Airport (TPA),"Tampa / Town 'n' Country, Florida, U.S.",27.97556°N 82.53333°W
TRI,KTRI,Tri-Cities Airport,"Blountville, Tennessee, U.S.",36.47528°N 82.40750°W
TUL,KTUL,Tulsa International Airport,"Tulsa, Oklahoma, U.S.",36.19833°N 95.88806°W
TUS,KTUS,Tucson International Airport,unknown,32.11611°N 110.94111°W
TYS,KTYS,McGhee Tyson Airport,"Alcoa, Tennessee, U.S.",35.81111°N 83.99389°W
VBG,unknown,unknown,unknown,unknown
VPS,KVPS,Destin–Fort Walton Beach Airport,"within Eglin Air Force Base, adjacent to Valparaiso",30.48333°N 86.52528°W
WRB,unknown,unknown,unknown,unknown
TIA,unknown,unknown,unknown,unknown
BOJ,LBBG,Burgas Airport,"Burgas, Bulgaria",42.57028°N 27.51528°E
SOF,LBSF,Sofia Airport,Sofia,42.69500°N 23.40833°E
VAR,unknown,unknown,unknown,unknown
LCA,LCLK,Larnaca International Airport,Larnaca,34.87889°N 33.63028°E
PFO,unknown,unknown,unknown,unknown
AKT,unknown,unknown,unknown,unknown
ZAG,unknown,unknown,unknown,unknown
ALC,LEAL,Alicante–Elche Airport,Elche (Alicante),38.28222°N 0.55806°W
BCN,unknown,unknown,unknown,unknown
MAD,LEMD,Adolfo SuárezMadrid-Barajas Airport[1],"District of Barajas, Madrid",40.47222°N 3.56083°W
AGP,LEMG,Málaga Airport,"Churriana, Málaga, Andalusia, Spain",36.67500°N 4.49917°W
PMI,unknown,unknown,unknown,unknown
SCQ,unknown,unknown,unknown,unknown
BOD,unknown,unknown,unknown,unknown
TLS,LFBO,Toulouse Blagnac Airport,Blagnac,43.63500°N 1.36778°E
LYS,LFLL,Lyon–Saint Exupéry Airport,Colombier-Saugnieu,45.72556°N 5.08111°E
MRS,unknown,unknown,unknown,unknown
NCE,unknown,unknown,unknown,unknown
CDG,LFPG,Paris Charles de Gaulle Airport,"Roissy-en-France, France",49.00972°N 2.54778°E
ORY,LFPO,Paris Orly Airport,Essonne and the Val-de-Marne,48.72333°N 2.37944°E
BSL,unknown,unknown,unknown,unknown
ATH,LGAV,"Athens International Airport""Eleftherios Venizelos""",Spata,37.93639°N 23.94722°E
HER,unknown,unknown,unknown,unknown
SKG,LGTS,"Thessaloniki Airport ""Makedonia""","Mikra, Macedonia, Greece",40.51972°N 22.97083°E
BUD,LHBP,Budapest Liszt Ferenc International Airport,16 km (9.9 mi) south-east of center of Budapest,47.43944°N 19.26194°E
BRI,unknown,unknown,unknown,unknown
CTA,LICC,Catania–Fontanarossa Airport,Catania,37.46667°N 15.06389°E
PMO,unknown,unknown,unknown,unknown
CAG,unknown,unknown,unknown,unknown
MXP,LIMC,Milan Malpensa Airport,"Ferno, Varese",45.63000°N 8.72306°E
BGY,LIME,Orio al Serio International Airport,Orio al Serio,45.66889°N 9.70028°E
TRN,unknown,unknown,unknown,unknown
GOA,LIMJ,Genoa Airport,unknown,44.41333°N 8.83750°E
LIN,LIML,Milan Linate Airport,Segrate and Peschiera Borromeo,45.44944°N 9.27833°E
BLQ,unknown,unknown,unknown,unknown
TSF,unknown,unknown,unknown,unknown
VRN,LIPX,Verona Airport,Villafranca di Verona,45.39639°N 10.88806°E
VCE,unknown,unknown,unknown,unknown
CIA,LIRA,"Rome—Ciampino International Airport ""G. B. Pastine""","Ciampino, (RM), Italy",41.79944°N 12.59722°E
FCO,LIRF,"Rome–Fiumicino International Airport ""Leonardo da Vinci""",Fiumicino,41.80028°N 12.23889°E
NAP,LIRN,Naples International Airport,Capodichino,40.88444°N 14.29083°E
PSA,unknown,unknown,unknown,unknown
LJU,unknown,unknown,unknown,unknown
PRG,unknown,unknown,unknown,unknown
TLV,unknown,unknown,unknown,unknown
VDA,LLOV,Ovda Airport,unknown,29.94028°N 34.93583°E
MLA,unknown,unknown,unknown,unknown
VIE,LOWW,Vienna International Airport,"Schwechat, Austria",48.11083°N 16.57083°E
FAO,unknown,unknown,unknown,unknown
TER,unknown,unknown,unknown,unknown
PDL,LPPD,Ponta Delgada-João Paulo II Airport,Relva,37.74194°N 25.69778°W
OPO,LPPR,Francisco Sá Carneiro Airport,11 km (6.8 mi) NW of Porto,41.23556°N 8.67806°W
LIS,LPPT,Humberto Delgado Airport,"Olivais, Lisbon",38.77417°N 9.13417°W
SJJ,LQSA,Sarajevo International Airport,Butmir,43.82472°N 18.33139°E
OTP,unknown,unknown,unknown,unknown
GVA,unknown,unknown,unknown,unknown
ZRH,LSZH,Zurich Airport,"Kloten, Rümlang, Oberglatt, Winkel and Opfikon[1]",47.46472°N 8.54917°E
ESB,unknown,unknown,unknown,unknown
ADA,unknown,unknown,unknown,unknown
AYT,unknown,unknown,unknown,unknown
GZT,unknown,unknown,unknown,unknown
ISL,unknown,unknown,unknown,unknown
ADB,unknown,unknown,unknown,unknown
DLM,LTBS,Dalaman Airport,"Dalaman, Turkey",36.71472°N 28.79278°E
ERZ,unknown,unknown,unknown,unknown
TZX,unknown,unknown,unknown,unknown
ISE,unknown,unknown,unknown,unknown
BJV,LTFE,Milas–Bodrum Airport,"Bodrum, Turkey",37.25056°N 27.66417°E
SAW,LTFJ,Istanbul Sabiha Gökçen International Airport,"Pendik, Istanbul",40.89833°N 29.30917°E
SKP,unknown,unknown,unknown,unknown
BEG,LYBE,Belgrade Nikola Tesla Airport,"Zemun, Serbia",44.81944°N 20.30694°E
TGD,LYPG,Podgorica Airport,"Golubovci, Montenegro",42.35944°N 19.25194°E
BTS,unknown,unknown,unknown,unknown
PUJ,MDPC,Punta Cana International Airport,"Punta Cana in La Altagracia Province, Dominican Republic",18.56667°N 68.35194°W
SDQ,MDSD,Las Américas International Airport,"Punta Caucedo, Dominican Republic",18.42944°N 69.66889°W
GUA,unknown,unknown,unknown,unknown
KIN,MKJP,Norman ManleyInternational Airport,Palisadoes,17.93556°N 76.78750°W
ACA,MMAA,General Juan N. Álvarez International Airport,"Acapulco, Guerrero, Mexico",16.756028°N 99.751611°W
GDL,MMGL,Guadalajara International Airport,"Tlajomulco de Zúñiga, Jalisco",20.52167°N 103.31111°W
HMO,MMHO,General Ignacio Pesqueira García International Airport,"Hermosillo, Sonora",29.09583°N 111.04778°W
MEX,MMMX,Mexico City International Airport,"Venustiano Carranza, Mexico City",19.43611°N 99.07194°W
MTY,MMMY,Monterrey International Airport,"Apodaca, Nuevo Leon, Mexico",25.77833°N 100.10639°W
PVR,MMPR,Lic. Gustavo Díaz Ordaz International Airport,"Puerto Vallarta, Jalisco",20.68000°N 105.25417°W
SJD,MMSD,Los Cabos International Airport,"San José del Cabo,Los Cabos Municipality,Baja California Sur state,Mexico",23.15167°N 109.72083°W
TIJ,MMTJ,Tijuana International Airport,"Tijuana, Baja California(CBX terminal in Otay Mesa, San Diego, California)",32.54083°N 116.97000°W
CUN,MMUN,Cancun International Airport,"Cancún, Quintana Roo, Mexico",21.03667°N 86.87694°W
PTY,MPTO,Tocumen International Airport,Tocumen,9.07139°N 79.38361°W
LIR,MRLB,Daniel Oduber Quirós International Airport (LIR),unknown,10.59306°N 85.54556°W
SAL,unknown,unknown,unknown,unknown
HAV,unknown,unknown,unknown,unknown
VRA,unknown,unknown,unknown,unknown
GCM,unknown,unknown,unknown,unknown
NAS,MYNN,Lynden Pindling International Airport,"Nassau, Bahamas",25.03889°N 77.46611°W
BZE,unknown,unknown,unknown,unknown
RAR,NCRG,Rarotonga International Airport,"Avarua, Rarotonga, Cook Islands",21.20278°S 159.80556°W
PPT,NTAA,Faa'a International Airport,Papeete,17.55667°S 149.61139°W
AKL,unknown,unknown,unknown,unknown
CHC,unknown,unknown,unknown,unknown
WLG,unknown,unknown,unknown,unknown
BAH,unknown,unknown,unknown,unknown
DMM,unknown,unknown,unknown,unknown
DHA,unknown,unknown,unknown,unknown
JED,OEJN,King Abdulaziz International Airport,Al Madinah Al Munawwarah Road,21.67944°N 39.15667°E
MED,unknown,unknown,unknown,unknown
RUH,OERK,King Khalid International Airport,"Riyadh, Saudi Arabia",24.95778°N 46.69889°E
IKA,OIIE,Imam Khomeini International Airport (IKIA),"Ahmadabad, Tehran, Iran",35.41611°N 51.15222°E
THR,OIII,Mehrabad International Airport,"Tehran, Iran",35.68917°N 51.31361°E
MHD,unknown,unknown,unknown,unknown
SYZ,OISS,Shiraz Shahid Dastgheib International Airport,"Shiraz, Iran",29.53917°N 52.59000°E
TBZ,unknown,unknown,unknown,unknown
AMM,unknown,unknown,unknown,unknown
KWI,OKBK,Kuwait International Airport,"Farwaniya Governorate, Kuwait",29.22667°N 47.98000°E
BEY,unknown,unknown,unknown,unknown
DQM,unknown,unknown,unknown,unknown
MNH,unknown,unknown,unknown,unknown
AUH,OMAA,Abu Dhabi International Airport,unknown,24.43306°N 54.65111°E
DXB,OMDB,Dubai International Airport,unknown,25.25278°N 55.36444°E
DWC,OMDW,Al Maktoum International Airport,"Jebel Ali, United Arab Emirates",24.8882778°N 55.1603778°E
SHJ,OMSJ,Sharjah Airport,unknown,25.32917°N 55.51611°E
MCT,unknown,unknown,unknown,unknown
SKT,unknown,unknown,unknown,unknown
BGW,unknown,unknown,unknown,unknown
BSR,unknown,unknown,unknown,unknown
ALP,unknown,unknown,unknown,unknown
DAM,unknown,unknown,unknown,unknown
LTK,unknown,unknown,unknown,unknown
FAI,PAFA,Fairbanks International Airport,unknown,64.81500°N 147.85639°W
ANC,PANC,Ted Stevens Anchorage International Airport,unknown,61.17417°N 149.99833°W
GUM,unknown,unknown,unknown,unknown
CGY,RPMY,Laguindingan Airport,"Barangay Moog, Laguindingan, Misamis Oriental",8.61250°N 124.45722°E
HNL,PHNL,Daniel K. Inouye International Airport,"Honolulu, Hawaii, United States",21.31861°N 157.92250°W
ISB,unknown,unknown,unknown,unknown
DOH,OTHH,Hamad International Airport,"Doha, Qatar",25.27306°N 51.60806°E
KNH,unknown,unknown,unknown,unknown
KHH,RCKH,Kaohsiung International Airport,"Siaogang District, Kaohsiung, Taiwan",22.57694°N 120.35000°E
TPE,RCTP,Taiwan Taoyuan International Airport,"Dayuan District, Taoyuan, Taiwan",25.07639°N 121.22389°E
NRT,RJAA,Narita International Airport,"Narita, Chiba, Japan",35.76528°N 140.38556°E
KIX,RJBB,Kansai International Airport,"Izumisano, Sennan, & Tajiri Osaka Prefecture",34.43417°N 135.23278°E
CTS,RJCC,New Chitose International Airport,City of Chitose and Tomakomai,42.77528°N 141.69250°E
HRB,ZYHB,Harbin Taiping International Airport,"near the town of Taiping, Daoli District, Harbin",45.6234028°N 126.2503278°E
WLW,unknown,unknown,unknown,unknown
WSD,unknown,unknown,unknown,unknown
WST,unknown,unknown,unknown,unknown
WVI,unknown,unknown,unknown,unknown
WVL,unknown,unknown,unknown,unknown
KYO,unknown,unknown,unknown,unknown
ATX,unknown,unknown,unknown,unknown
KZF,unknown,unknown,unknown,unknown
ZPH,unknown,unknown,unknown,unknown
LAC,unknown,unknown,unknown,unknown
LBM,unknown,unknown,unknown,unknown
SZR,unknown,unknown,unknown,unknown
TGV,unknown,unknown,unknown,unknown
LCP,unknown,unknown,unknown,unknown
LSZ,unknown,unknown,unknown,unknown
LDW,unknown,unknown,unknown,unknown
HSK,unknown,unknown,unknown,unknown
QSA,unknown,unknown,unknown,unknown
RJL,unknown,unknown,unknown,unknown
LEO,unknown,unknown,unknown,unknown
LEU,unknown,unknown,unknown,unknown
DPE,unknown,unknown,unknown,unknown
BYF,unknown,unknown,unknown,unknown
XDA,unknown,unknown,unknown,unknown
MVV,unknown,unknown,unknown,unknown
AHZ,unknown,unknown,unknown,unknown
PRP,unknown,unknown,unknown,unknown
MFX,unknown,unknown,unknown,unknown
CVF,unknown,unknown,unknown,unknown
BAE,unknown,unknown,unknown,unknown
GAT,unknown,unknown,unknown,unknown
SCP,unknown,unknown,unknown,unknown
LSO,unknown,unknown,unknown,unknown
XBX,unknown,unknown,unknown,unknown
LTT,unknown,unknown,unknown,unknown
LGE,unknown,unknown,unknown,unknown
JIK,unknown,unknown,unknown,unknown
KSO,unknown,unknown,unknown,unknown
KIT,unknown,unknown,unknown,unknown
KZS,unknown,unknown,unknown,unknown
KSJ,unknown,unknown,unknown,unknown
JKL,unknown,unknown,unknown,unknown
LRS,unknown,unknown,unknown,unknown
LXS,unknown,unknown,unknown,unknown
LRA,unknown,unknown,unknown,unknown
MLO,unknown,unknown,unknown,unknown
LGN,unknown,unknown,unknown,unknown
JNX,unknown,unknown,unknown,unknown
PAS,unknown,unknown,unknown,unknown
JTY,unknown,unknown,unknown,unknown
JSY,unknown,unknown,unknown,unknown
SPJ,unknown,unknown,unknown,unknown
SKU,unknown,unknown,unknown,unknown
MCQ,unknown,unknown,unknown,unknown
QAQ,unknown,unknown,unknown,unknown
BLX,unknown,unknown,unknown,unknown
RAN,unknown,unknown,unknown,unknown
FNU,unknown,unknown,unknown,unknown
UDN,unknown,unknown,unknown,unknown
LCV,unknown,unknown,unknown,unknown
QRT,unknown,unknown,unknown,unknown
LKC,unknown,unknown,unknown,unknown
MKA,unknown,unknown,unknown,unknown
OLO,unknown,unknown,unknown,unknown
ZBE,unknown,unknown,unknown,unknown
BEV,unknown,unknown,unknown,unknown
EIY,unknown,unknown,unknown,unknown
LLH,unknown,unknown,unknown,unknown
KSW,unknown,unknown,unknown,unknown
LLL,unknown,unknown,unknown,unknown
YOT,unknown,unknown,unknown,unknown
LMC,unknown,unknown,unknown,unknown
LMZ,unknown,unknown,unknown,unknown
LNC,unknown,unknown,unknown,unknown
LNF,unknown,unknown,unknown,unknown
LNM,unknown,unknown,unknown,unknown
HOH,unknown,unknown,unknown,unknown
LOM,unknown,unknown,unknown,unknown
CHV,unknown,unknown,unknown,unknown
CVU,unknown,unknown,unknown,unknown
QNC,unknown,unknown,unknown,unknown
BXO,unknown,unknown,unknown,unknown
ZJI,unknown,unknown,unknown,unknown
GKD,unknown,unknown,unknown,unknown
KFS,unknown,unknown,unknown,unknown
MZH,unknown,unknown,unknown,unknown
VAS,unknown,unknown,unknown,unknown
ONQ,unknown,unknown,unknown,unknown
NAV,unknown,unknown,unknown,unknown
CII,unknown,unknown,unknown,unknown
BTZ,unknown,unknown,unknown,unknown
USQ,unknown,unknown,unknown,unknown
BXN,unknown,unknown,unknown,unknown
KZR,unknown,unknown,unknown,unknown
NOP,unknown,unknown,unknown,unknown
LTF,unknown,unknown,unknown,unknown
SZF,unknown,unknown,unknown,unknown
LWA,unknown,unknown,unknown,unknown
DNF,unknown,unknown,unknown,unknown
MRA,unknown,unknown,unknown,unknown
QUB,unknown,unknown,unknown,unknown
IVG,unknown,unknown,unknown,unknown
QND,unknown,unknown,unknown,unknown
LUE,unknown,unknown,unknown,unknown
POV,unknown,unknown,unknown,unknown
DRU,unknown,unknown,unknown,unknown
GLN,unknown,unknown,unknown,unknown
UWA,unknown,unknown,unknown,unknown
MAP,unknown,unknown,unknown,unknown
MDS,unknown,unknown,unknown,unknown
PIC,unknown,unknown,unknown,unknown
SLX,unknown,unknown,unknown,unknown
COZ,unknown,unknown,unknown,unknown
EPS,unknown,unknown,unknown,unknown
MDR,unknown,unknown,unknown,unknown
MDV,unknown,unknown,unknown,unknown
LIZ,unknown,unknown,unknown,unknown
MEF,unknown,unknown,unknown,unknown
OHB,unknown,unknown,unknown,unknown
DOA,unknown,unknown,unknown,unknown
CMM,unknown,unknown,unknown,unknown
CTF,unknown,unknown,unknown,unknown
HUG,unknown,unknown,unknown,unknown
MCR,unknown,unknown,unknown,unknown
MGP,unknown,unknown,unknown,unknown
PON,unknown,unknown,unknown,unknown
AQB,unknown,unknown,unknown,unknown
AAZ,unknown,unknown,unknown,unknown
LCF,unknown,unknown,unknown,unknown
AIM,unknown,unknown,unknown,unknown
AUL,unknown,unknown,unknown,unknown
BII,unknown,unknown,unknown,unknown
EBN,unknown,unknown,unknown,unknown
JAT,unknown,unknown,unknown,unknown
JEJ,unknown,unknown,unknown,unknown
KBT,unknown,unknown,unknown,unknown
LIK,unknown,unknown,unknown,unknown
LML,unknown,unknown,unknown,unknown
MAV,unknown,unknown,unknown,unknown
MJB,unknown,unknown,unknown,unknown
MJE,unknown,unknown,unknown,unknown
NDK,unknown,unknown,unknown,unknown
RNP,unknown,unknown,unknown,unknown
TIC,unknown,unknown,unknown,unknown
UIT,unknown,unknown,unknown,unknown
WJA,unknown,unknown,unknown,unknown
WTE,unknown,unknown,unknown,unknown
WTO,unknown,unknown,unknown,unknown
AHS,unknown,unknown,unknown,unknown
BHG,unknown,unknown,unknown,unknown
CAA,unknown,unknown,unknown,unknown
LUI,unknown,unknown,unknown,unknown
CYL,unknown,unknown,unknown,unknown
CDD,unknown,unknown,unknown,unknown
OAN,unknown,unknown,unknown,unknown
GAC,unknown,unknown,unknown,unknown
IRN,unknown,unknown,unknown,unknown
GUO,unknown,unknown,unknown,unknown
JUT,unknown,unknown,unknown,unknown
LEZ,unknown,unknown,unknown,unknown
MHN,unknown,unknown,unknown,unknown
PCH,unknown,unknown,unknown,unknown
PEU,unknown,unknown,unknown,unknown
RUY,unknown,unknown,unknown,unknown
SCD,unknown,unknown,unknown,unknown
UII,unknown,unknown,unknown,unknown
MHY,unknown,unknown,unknown,unknown
ORO,unknown,unknown,unknown,unknown
MIZ,unknown,unknown,unknown,unknown
MJJ,unknown,unknown,unknown,unknown
MJS,unknown,unknown,unknown,unknown
MKN,unknown,unknown,unknown,unknown
NEG,unknown,unknown,unknown,unknown
MIJ,unknown,unknown,unknown,unknown
MLQ,unknown,unknown,unknown,unknown
HEB,unknown,unknown,unknown,unknown
TZM,unknown,unknown,unknown,unknown
CNA,unknown,unknown,unknown,unknown
ACN,unknown,unknown,unknown,unknown
NCG,unknown,unknown,unknown,unknown
CJT,unknown,unknown,unknown,unknown
